  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      98	 17:34:41	   4.000	 -10.000	  105.87	 1018.59	   14.21	   331.4	  1235.8	   699.8	  -107.5	    70.5	  -653.9	   0.000	   1.235	   247.0	    20.0	  228215	   39.51	   61.52	    0.00	    2.31	    0.00	  17.705	  18.349	  30.035	  30.546	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      99	 17:35:31	   4.000	  -4.995	  105.88	 1018.60	   14.15	   315.6	   627.6	   480.1	    62.6	   131.3	  -360.8	   0.000	   1.235	   247.0	    20.0	  228296	   40.68	   61.52	    0.00	    2.32	    0.00	  17.230	  18.122	  30.035	  30.569	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     100	 17:36:26	   4.000	   0.000	  105.87	 1018.58	   14.12	   275.5	   287.0	   371.2	   172.0	   118.3	  -182.0	   0.000	   1.235	   247.0	    20.0	  228311	   40.50	   61.52	    0.00	    2.33	    0.00	  16.835	  17.976	  30.035	  30.574	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     101	 17:37:21	   4.000	   5.000	  106.02	 1018.58	   14.10	   250.5	  -439.8	   187.5	   372.0	    85.9	   228.6	   0.000	   1.235	   247.3	    20.0	  228490	   39.13	   61.52	    0.00	    2.31	    0.00	  16.517	  17.873	  30.035	  30.536	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     102	 17:38:16	   4.000	  10.000	  106.04	 1018.57	   14.07	   318.9	  -611.0	    95.1	   495.8	    74.9	   272.2	   0.000	   1.235	   247.4	    20.0	  228547	   36.74	   61.52	    0.00	    2.31	    0.00	  16.245	  17.774	  30.035	  30.533	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     103	 17:39:09	   4.000	  10.000	  106.00	 1018.55	   14.04	   478.1	  -549.4	    65.6	   457.5	   219.0	   213.0	   0.000	   1.236	   247.3	    20.0	  228535	   36.80	   49.21	    0.00	    0.82	    0.00	  16.016	  17.620	  30.038	  28.410	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     104	 17:40:11	   4.000	   5.000	  106.04	 1018.54	   14.02	   486.6	    -1.6	   224.9	   256.9	   263.6	   -48.3	   0.000	   1.236	   247.4	    20.0	  228594	   39.32	   49.21	    0.00	    0.80	    0.00	  15.810	  17.364	  30.039	  28.385	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     105	 17:40:58	   4.000	   0.000	  106.00	 1018.51	   14.00	   444.5	   355.9	   342.4	   140.7	   256.2	  -251.8	   0.000	   1.236	   247.3	    20.0	  228567	   40.55	   49.21	    0.00	    0.81	    0.00	  15.676	  17.168	  30.039	  28.422	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     106	 17:41:44	   4.000	  -4.995	  105.93	 1018.52	   13.97	   405.6	  1105.2	   549.5	   -45.5	   219.3	  -662.7	   0.000	   1.236	   247.1	    20.0	  228524	   40.73	   49.21	    0.00	    0.84	    0.00	  15.564	  16.997	  30.038	  28.512	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
