  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      50	 16:39:49	   4.000	  10.000	  106.11	 1019.30	   14.00	   559.3	 -1435.2	  -183.5	   678.0	   280.1	   812.4	   0.000	   1.237	   247.5	    20.0	  228768	   36.43	   41.01	    0.00	    0.19	    0.00	  15.658	  16.450	  39.512	  28.244	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      51	 16:40:40	   4.000	   5.000	  106.15	 1019.27	   13.97	   576.4	  -799.2	    -7.5	   452.1	   338.6	   495.3	   0.000	   1.237	   247.6	    20.0	  228843	   39.02	   41.01	    0.00	    0.00	    0.00	  15.491	  16.275	  39.512	  27.965	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      52	 16:41:29	   4.000	   0.000	  106.19	 1019.25	   13.96	   534.7	  -511.2	    95.0	   351.6	   332.5	   333.9	   0.000	   1.237	   247.7	    20.0	  228898	   40.27	   41.02	    0.00	    0.00	    0.00	  15.374	  16.145	  39.512	  27.885	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      53	 16:42:14	   4.000	  -4.995	  106.04	 1019.23	   13.92	   565.5	  -116.8	   211.1	   230.5	   347.7	   127.6	   0.000	   1.237	   247.4	    20.0	  228765	   40.40	   41.01	    0.00	    0.19	    0.00	  15.284	  16.047	  39.512	  28.125	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      54	 16:43:01	   4.000	 -10.000	  106.10	 1019.23	   13.90	   574.9	   407.2	   418.7	    75.0	   285.7	  -113.4	   0.000	   1.237	   247.5	    20.0	  228853	   39.21	   41.01	    0.00	    0.27	    0.00	  15.188	  15.956	  39.512	  28.486	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      55	 16:44:11	   4.000	 -10.000	  106.07	 1019.19	   13.87	   497.8	   384.7	   434.9	    89.9	   219.7	   -87.9	   0.000	   1.237	   247.5	    20.0	  228853	   39.22	   49.21	    0.00	    0.81	    0.00	  15.067	  15.891	  39.511	  30.511	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      56	 16:45:07	   4.000	  -5.000	  106.00	 1019.21	   13.82	   488.3	  -218.9	   214.9	   256.3	   285.2	   201.4	   0.000	   1.237	   247.3	    20.0	  228827	   40.38	   49.21	    0.00	    0.77	    0.00	  14.993	  15.870	  39.511	  30.375	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      57	 16:46:03	   4.000	   0.000	  106.10	 1019.19	   13.82	   442.6	  -554.4	   111.3	   371.7	   257.7	   372.6	   0.000	   1.237	   247.5	    20.0	  228932	   40.22	   49.21	    0.00	    0.75	    0.00	  14.931	  15.860	  39.511	  30.307	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      58	 16:47:11	   4.000	   5.000	  106.14	 1019.18	   13.79	   403.0	 -1258.3	   -64.4	   566.3	   215.2	   772.7	   0.000	   1.237	   247.6	    20.0	  228999	   38.81	   49.21	    0.00	    0.75	    0.00	  14.852	  15.846	  39.511	  30.270	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
