  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 15:26:25	   4.000	 -10.000	  106.53	 1020.18	   12.98	   521.5	   840.6	   552.7	   -16.3	   214.2	  -411.2	   0.000	   1.242	   248.5	    20.0	  230372	   39.35	   41.01	    0.00	    0.28	    0.00	  14.245	  14.842	  30.040	  28.944	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 15:27:19	   4.000	  -4.995	  107.40	 1020.16	   13.01	   487.5	   476.8	   395.0	    99.3	   264.1	  -262.9	   0.000	   1.242	   250.6	    20.1	  231277	   40.74	   41.01	    0.00	    0.20	    0.00	  14.144	  14.774	  30.040	  28.560	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 15:28:02	   4.000	  -4.995	  106.54	 1020.21	   13.03	   483.4	   472.9	   391.9	    98.6	   261.1	  -260.7	   0.000	   1.242	   248.6	    20.0	  230343	   40.58	   41.01	    0.00	    0.19	    0.00	  14.087	  14.726	  30.040	  28.591	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 15:28:56	   4.000	   0.000	  106.47	 1020.15	   13.04	   483.0	   -94.6	   219.6	   262.6	   272.4	    38.7	   0.000	   1.242	   248.4	    20.0	  230239	   40.37	   41.01	    0.00	    0.00	    0.00	  14.023	  14.683	  30.749	  28.326	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 15:30:24	   4.000	   0.000	  106.48	 1020.13	   13.06	   475.7	   -80.2	   225.5	   258.4	   266.4	    37.1	   0.000	   1.242	   248.4	    20.0	  230231	   41.01	   41.01	    0.00	    0.00	    0.00	  14.010	  14.639	  35.975	  28.316	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 15:31:43	   4.000	   5.000	  106.35	 1020.08	   13.08	   431.1	  -774.8	    49.0	   449.2	   228.1	   429.2	   0.000	   1.242	   248.1	    20.0	  230057	   41.01	   41.01	    0.19	    0.00	    0.00	  14.107	  14.617	  36.252	  28.313	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 15:33:20	   4.000	   5.000	  106.25	 1020.10	   13.08	   447.1	  -778.6	    45.8	   445.4	   242.1	   434.5	   0.000	   1.242	   247.9	    20.0	  229954	   38.95	   41.01	    0.00	    0.00	    0.00	  14.109	  14.605	  36.196	  28.305	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 15:34:41	   4.000	  10.000	  106.49	 1020.08	   13.08	   508.9	  -965.4	   -45.3	   577.5	   215.2	   488.3	   0.000	   1.242	   248.4	    20.0	  230213	   36.58	   41.01	    0.00	    0.20	    0.00	  14.028	  14.593	  36.196	  28.566	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 15:35:35	   4.000	  10.000	  106.52	 1020.07	   13.09	   480.6	  -955.4	   -39.3	   585.1	   188.8	   476.9	   0.000	   1.241	   248.5	    20.0	  230231	   41.01	   41.01	    0.23	    0.20	    0.00	  14.017	  14.596	  38.996	  28.570	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 15:36:47	   4.000	  10.000	  106.41	 1020.00	   13.09	   324.1	  -959.1	    -5.7	   619.8	    44.5	   476.5	   0.000	   1.241	   248.2	    20.0	  230112	   49.21	   49.21	    0.65	    0.78	    0.00	  14.155	  14.628	  41.648	  30.227	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 15:38:02	   4.000	  10.000	  106.44	 1020.00	   13.08	   431.6	  -988.5	   -26.5	   596.8	   139.3	   512.5	   0.000	   1.241	   248.3	    20.0	  230152	   36.55	   49.21	    0.00	    0.78	    0.00	  14.198	  14.697	  40.050	  30.200	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 15:38:59	   4.000	   5.000	  106.34	 1019.99	   13.09	   439.5	  -417.5	   133.7	   385.3	   196.0	   238.3	   0.000	   1.241	   248.1	    20.0	  230033	   39.08	   49.21	    0.00	    0.77	    0.00	  14.139	  14.745	  30.039	  30.167	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 15:40:14	   4.000	   5.000	  106.49	 1019.94	   13.09	   343.6	  -382.5	   155.7	   403.2	   111.5	   201.8	   0.000	   1.241	   248.4	    20.0	  230188	   49.21	   49.21	    0.77	    0.76	    0.00	  14.122	  14.796	  32.144	  30.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 15:41:09	   4.000	   0.000	  106.41	 1019.92	   13.08	   307.0	   -67.8	   264.3	   295.6	   106.1	    29.9	   0.000	   1.241	   248.2	    20.0	  230109	   49.21	   49.21	    0.75	    0.77	    0.00	  14.226	  14.823	  32.052	  30.177	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 15:42:15	   4.000	   0.000	  106.43	 1019.90	   13.09	   398.5	   -98.7	   244.1	   277.0	   188.5	    61.8	   0.000	   1.241	   248.3	    20.0	  230117	   40.35	   49.21	    0.00	    0.77	    0.00	  14.268	  14.850	  32.037	  30.169	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 15:43:11	   4.000	  -4.995	  106.34	 1019.88	   13.09	   366.8	   657.4	   447.7	    84.5	   165.9	  -353.2	   0.000	   1.241	   248.1	    20.0	  230022	   40.56	   49.21	    0.00	    0.79	    0.00	  14.207	  14.862	  32.038	  30.266	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 15:44:13	   4.000	 -10.000	  106.38	 1019.82	   13.08	   446.5	   819.8	   567.5	    -0.9	   145.8	  -386.7	   0.000	   1.241	   248.2	    20.0	  230060	   39.35	   49.21	    0.00	    0.83	    0.00	  14.130	  14.879	  32.037	  30.395	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 15:45:16	   4.000	 -10.000	  106.48	 1019.81	   13.10	   289.9	   767.1	   594.5	    29.2	    15.9	  -330.7	   0.000	   1.241	   248.4	    20.0	  230153	   39.37	   61.52	    0.00	    2.19	    0.00	  14.059	  14.957	  32.034	  32.283	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 15:46:37	   4.000	  -5.000	  106.30	 1019.81	   13.08	   273.5	   165.0	   377.3	   199.8	    71.0	   -44.4	   0.000	   1.241	   248.0	    20.0	  229979	   40.48	   61.52	    0.00	    2.20	    0.00	  13.993	  15.198	  32.034	  32.297	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      20	 15:47:27	   4.000	   0.000	  106.52	 1019.79	   13.08	   230.5	  -174.5	   269.4	   316.4	    49.8	   123.0	   0.000	   1.241	   248.5	    20.0	  230212	   40.32	   61.52	    0.00	    2.21	    0.00	  13.962	  15.348	  32.034	  32.301	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      21	 15:48:53	   4.000	   0.000	  106.44	 1019.81	   13.08	   -40.8	   -74.8	   331.5	   359.5	  -185.8	    38.1	   0.000	   1.241	   248.3	    20.0	  230123	   61.52	   61.52	    2.19	    2.22	    0.00	  14.178	  15.551	  33.913	  32.318	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 15:49:55	   4.000	   5.000	  106.38	 1019.78	   13.09	   -67.7	  -762.6	   155.6	   549.9	  -216.7	   418.2	   0.000	   1.241	   248.2	    20.0	  230052	   61.52	   61.52	    2.18	    2.20	    0.00	  14.554	  15.673	  33.864	  32.256	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      23	 15:51:19	   4.000	   5.000	  106.42	 1019.77	   13.10	   198.1	  -864.7	    98.0	   503.5	    14.0	   519.9	   0.000	   1.241	   248.3	    20.0	  230079	   38.89	   61.52	    0.00	    2.19	    0.00	  14.675	  15.792	  33.848	  32.248	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      24	 15:52:26	   4.000	  10.000	  106.39	 1019.75	   13.10	   268.3	 -1052.6	     4.9	   635.9	    -8.9	   573.9	   0.000	   1.241	   248.2	    20.0	  230044	   36.46	   61.52	    0.00	    2.19	    0.00	  14.503	  15.858	  33.848	  32.229	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      25	 15:53:42	   4.000	  10.000	  106.24	 1019.77	   13.10	    -2.4	  -960.7	    59.4	   684.0	  -240.3	   475.3	   0.000	   1.241	   247.9	    20.0	  229894	   61.52	   61.52	    2.06	    2.20	    0.00	  14.493	  15.918	  35.700	  32.253	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      26	 15:55:52	   4.000	 -10.000	  422.96	 1019.74	   13.54	    69.1	  5293.3	  2954.8	  -230.5	  -514.8	 -2528.9	   0.000	   1.239	   991.4	    40.0	  458856	   78.53	  123.03	    0.00	   16.73	    0.00	  14.678	  16.283	  30.002	  36.964	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      27	 15:56:58	   4.000	  -4.995	  422.62	 1019.75	   13.72	   498.8	  2219.5	  1951.8	   533.9	  -133.1	 -1016.2	   0.000	   1.238	   990.6	    40.0	  458323	   80.45	  123.03	    0.00	   16.85	    0.00	  14.766	  18.335	  30.001	  37.094	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 15:57:59	   4.000	   0.000	  422.57	 1019.70	   13.79	   593.5	  -610.9	  1157.4	  1282.8	   -58.3	   502.7	   0.000	   1.238	   990.5	    40.0	  458122	   80.10	  123.03	    0.00	   16.83	    0.00	  14.841	  20.515	  30.001	  37.026	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 15:59:28	   4.000	   0.000	  422.56	 1019.70	   13.90	  -580.8	  -233.0	  1399.7	  1498.9	 -1068.7	   109.4	   0.000	   1.238	   990.4	    40.0	  457891	  123.03	  123.03	   17.59	   17.00	    0.00	  15.962	  23.066	  36.781	  36.993	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      30	 16:00:32	   4.000	   5.000	  422.19	 1019.68	   13.99	  -687.0	 -2924.9	   714.5	  2232.3	 -1176.4	  1592.9	   0.000	   1.237	   989.6	    40.0	  457522	  123.03	  123.03	   17.64	   17.04	    0.00	  19.144	  24.483	  36.879	  36.900	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      31	 16:01:52	   4.000	   5.000	  422.08	 1019.66	   14.07	   496.8	 -3359.7	   457.9	  2030.0	  -161.8	  2027.4	   0.000	   1.237	   989.3	    40.0	  457288	   77.53	  123.03	    0.00	   17.08	    0.00	  21.151	  25.814	  36.806	  36.790	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
