AoA,AoS,dPb,pBar,temp,NONE1,NONE2,NONE3,NONE4,NONE5,NONE6,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,J_M1,J_M2,B16zeroed1,B16zeroed2,B16zeroed3,B16zeroed4,B16zeroed5,B16zeroed6,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,rudder
4,-10,106.53,102018,286.13,521.5,840.6,552.7,-16.3,214.2,-411.2,521.5,840.6,552.7,-16.3,214.2,-411.2,0,1.24209799041298,248.522614013599,20.0041464221912,230356.100578075,39.35,41.01,0,0.2,0,102018,1.43268477744798e-05,2.50179421782499,2.40052676106836,507.4,809.2,550.8,-18.2,219.2,-390,4.66279163085116,8.09924810769349,38.0575827530896,-0.673115059315078,-2.06768965305385,2.54897637239751,0.0863934617657609,0.150065054825471,0.705141164516533,-0.00893008000059684,-0.232214793054943,0.0338167488754489,0.709449979327369,0.0369948505065203,-0.150065054825471,0.705141164516533,0.111139474258416,-0.132783162250364,0.0309259855974391,-0.256565046696151,-0.256565046696151,0.0358916606771511,0
4,-4.995,107.4,102016,286.16,487.5,476.8,395,99.3,264.1,-262.9,487.5,476.8,395,99.3,264.1,-262.9,0,1.24194342525017,250.552340944668,20.086918795407,231261.601275168,40.74,41.01,0,0.2,0,102016,1.43298002115418e-05,2.42643463003904,2.41045956663717,491.55,461.4,395.05,97.75,265.45,-251.4,4.51803992952529,4.26103713658567,36.7674481130029,-0.320440681711007,-1.31420175149179,1.64112473211858,0.0830333158061549,0.0783100742230596,0.675718492570773,-0.00421678188773485,-0.146397620540436,0.0215960876408085,0.679864587598283,0.0356953115366579,-0.0783100742230596,0.675718492570773,0.089536345007914,-0.0707830642259117,0.0163051838242995,-0.169800807068977,-0.169800807068977,0.022680872784064,0
4,-4.995,106.54,102021,286.18,483.4,472.9,391.9,98.6,261.1,-260.7,483.4,472.9,391.9,98.6,261.1,-260.7,0,1.241917496463,248.54594381025,20.0065389998465,230318.846439136,40.58,41.01,0,0.2,0,102021,1.43308789728883e-05,2.42625374489276,2.40081387387828,487.45,457.5,391.95,97.05,262.45,-249.2,4.48035568211474,4.22594148263355,36.4604825125822,-0.318561264967848,-1.31340813136208,1.62676872272864,0.0830054472221134,0.0782920347374992,0.675486249668118,-0.00422589053161115,-0.147490300965989,0.0215799825606354,0.679630966413516,0.0356837112850278,-0.0782920347374992,0.675486249668118,0.089507011583887,-0.0707675197332982,0.0162921487052161,-0.170885632651395,-0.170885632651395,0.0226638976511146,0
4,0,106.47,102015,286.19,483,-94.6,219.6,262.6,272.4,38.7,483,-94.6,219.6,262.6,272.4,38.7,0,1.24180106522222,248.382635428045,20.0009027966785,230226.113019361,40.37,41.01,0,0.2,0,102015,1.43326124542278e-05,2.43818775693419,2.40013752127368,488.9,-80.7,221.4,263.8,265.8,29.2,4.49481618336947,-0.926841631912372,36.3277446324873,-0.286401230016824,-1.28284022931213,-0.192467590490923,0.0833281012976498,-0.0171824497910785,0.673469583884478,-0.00380176793656436,-0.144152368042891,-0.00255486722006469,0.677641720336916,0.0361462548852399,0.0171824497910785,0.673469583884478,0.0833281012976498,0.0171824497910785,-0.00844541584861435,-0.167638640737224,-0.167638640737224,-0.00313776612082587,0
4,0,106.48,102013,286.21,475.7,-80.2,225.5,258.4,266.4,37.1,475.7,-80.2,225.5,258.4,266.4,37.1,0,1.24168994594414,248.405965169167,20.0027370491941,230214.101231724,41.01,41.01,0.2,0.2,0,102013,1.43346747718971e-05,2.40035763425213,2.40035763425213,481.6,-66.3,227.3,259.6,259.8,27.6,4.42758250962291,-0.716970409149545,36.2838568024919,-0.228885196225807,-1.28996306660281,-0.181641277237308,0.0820739666743988,-0.0132904593735242,0.672592785691532,-0.00303799908895241,-0.144939145468131,-0.0024109293386484,0.676679573971382,0.0349563376210236,0.0132904593735242,0.672592785691532,0.0820739666743987,0.0132904593735242,-0.00659925121223125,-0.168071936596241,-0.168071936596241,-0.00286539692986924,0
4,5,106.35,102008,286.23,431.1,-774.8,49,449.2,228.1,429.2,431.1,-774.8,49,449.2,228.1,429.2,0,1.24154232910763,248.102679256462,19.9917107449939,230047.332178038,41.01,41.01,0.19,0.2,0,102008,1.43371588889369e-05,2.39903446165832,2.39903446165832,427.7,-767.9,49.1,450,225.8,419.1,3.93297226657541,-7.08276548817361,36.2161270723444,-0.964189533464831,-1.20883113213501,-2.73891062202346,0.0729945122331783,-0.131453510736651,0.672157938434296,-0.0128133566369201,-0.135989263953616,-0.0363980704815597,0.675612435254869,0.0259293336857722,0.131453510736651,0.672157938434296,0.0841736744415253,0.124591399511213,-0.0472034517847345,-0.156562983896838,-0.156562983896838,-0.0396021529562812,0
4,5,106.25,102010,286.23,447.1,-778.6,45.8,445.4,242.1,434.5,447.1,-778.6,45.8,445.4,242.1,434.5,0,1.24156667116569,247.869383464844,19.9821133497208,229941.401859416,38.95,41.01,0,0.2,0,102010,1.43368777957325e-05,2.52470274702587,2.39788276022086,443.7,-771.7,45.9,446.2,239.8,424.4,4.08016119383992,-7.07802995035951,36.1308288412688,-0.96939192300996,-1.18236947263083,-2.77339273234296,0.0757975582677473,-0.131489262824523,0.671205982864784,-0.0128946175574855,-0.133137611934436,-0.0368910012260386,0.674858329208393,0.0287919567047719,0.131489262824523,0.671205982864784,0.0869691700394433,0.124382713992497,-0.04726018193268,-0.154501378722809,-0.154501378722809,-0.0400978402413168,0
4,10,106.49,102008,286.23,508.9,-965.4,-45.3,577.5,215.2,488.3,508.9,-965.4,-45.3,577.5,215.2,488.3,0,1.24154232910763,248.429294919543,20.0048654967146,230198.705693662,36.58,41.01,0,0.2,0,102008,1.43371588889369e-05,2.69133792301774,2.40061305106045,504.9,-949.1,-43.4,580,206.6,468.9,4.64377484242512,-9.35814119672305,38.0571296559527,0.239479952541376,-2.20166263822857,-3.06744345850499,0.0860734337543558,-0.173455297401844,0.705397642968388,0.00317832506027221,-0.247353697653301,-0.040710432383479,0.709683508985031,0.0366577110348736,0.173455297401844,0.705397642968387,0.114885981190178,0.155873626765395,-0.0427594005339011,-0.271613750449553,-0.271613750449553,-0.0435940088169496,0
4,10,106.52,102007,286.24,480.6,-955.4,-39.3,585.1,188.8,476.9,480.6,-955.4,-39.3,585.1,188.8,476.9,0,1.24148678433077,248.499284226203,20.0081308284962,230219.719566896,41.01,41.01,0.23,0.2,0,102007,1.43381902254723e-05,2.40100489563907,2.40100489563907,476.6,-939.1,-37.4,587.6,180.2,457.5,4.38342665942229,-9.33917844833903,38.242533824928,0.286153906740484,-2.2696056462952,-2.99322217161301,0.0812249370797478,-0.173055064172752,0.708634510177773,0.00379670184178068,-0.254915182393653,-0.0397141952778872,0.712574277317598,0.0315952326119757,0.173055064172752,0.708634510177773,0.110041644303696,0.156321406590342,-0.0420994919430127,-0.277808672010328,-0.277808672010328,-0.0425541655985825,0
4,10,106.41,102000,286.24,324.1,-959.1,-5.7,619.8,44.5,476.5,324.1,-959.1,-5.7,619.8,44.5,476.5,0,1.24140159010399,248.242657175666,19.9984830745463,230092.918846124,49.21,49.21,0.65,0.78,0,102000,1.43391742189191e-05,1.99995390502082,1.99995390502082,320.1,-942.8,-3.8,622.3,35.9,457.1,2.94361919194192,-9.40377462409738,38.8848235710661,0.240723904679908,-2.62398662799672,-2.99030776346356,0.0546016787716314,-0.174432169307556,0.721281017439707,0.00319723650974331,-0.295022845438632,-0.0397165423576337,0.723332833704299,0.00415465147124561,0.174432169307556,0.721281017439707,0.0840619849085313,0.16230067069257,-0.0430845289611603,-0.310412490675096,-0.310412490675096,-0.0426252196698542,0
