AoA,AoS,dPb,pBar,temp,NONE1,NONE2,NONE3,NONE4,NONE5,NONE6,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,J_M1,J_M2,B16zeroed1,B16zeroed2,B16zeroed3,B16zeroed4,B16zeroed5,B16zeroed6,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,rudder,CT_actual,Thrust,Drag_unc,CD_unc,CD_0,epsilon
4,-10,106.53,102018,286.13,521.5,840.6,552.7,-16.3,214.2,-411.2,521.5,840.6,552.7,-16.3,214.2,-411.2,0,1.24209799041298,252.953758071151,20.1816948948989,230356.100578075,39.35,41.01,0,0.2,0,102018,1.43268477744798e-05,2.47978468172225,2.379408125476,507.4,809.2,550.8,-18.2,219.2,-390,4.66279163085116,8.09924810769349,38.0575827530896,-0.673115059315078,-2.06768965305385,2.54897637239751,0.0863934617657609,0.150065054825471,0.705141164516533,-0.00893008000059684,-0.228146945997966,0.0332243604208642,0.709449979327369,0.0369948505065203,-0.136530719864043,0.684241183179574,0.089193507083383,-0.130457119242206,0.0248259855974391,-0.216665046696151,-0.256565046696151,0.0275013138176446,0,-0.0282467445294668,-0.100600146751375,4.60761710287045,0.0185400315426359,0.0869691700394433,0.00887558353955619
4,-4.995,107.4,102016,286.16,487.5,476.8,395,99.3,264.1,-262.9,487.5,476.8,395,99.3,264.1,-262.9,0,1.24194342525017,255.053018612792,20.2665267104337,231261.601275168,40.74,41.01,0,0.2,0,102016,1.43298002115418e-05,2.40493085333982,2.38909736564409,491.55,461.4,395.05,97.75,265.45,-251.4,4.51803992952529,4.26103713658567,36.7674481130029,-0.320440681711007,-1.31420175149179,1.64112473211858,0.0830333158061549,0.0783100742230596,0.675718492570773,-0.00421678188773485,-0.143814281182147,0.0212150020536138,0.679864587598283,0.0356953115366579,-0.0406793500885062,0.655248252602368,0.086126119200127,-0.0695340229160868,0.0058051838242995,-0.166300807068977,-0.169800807068977,0.00558062783337199,0,-0.0282467445294668,-0.100587628191502,4.53637481101247,0.018105497613428,0.089536345007914,0.00894153637280415
4,-4.995,106.54,102021,286.18,483.4,472.9,391.9,98.6,261.1,-260.7,483.4,472.9,391.9,98.6,261.1,-260.7,0,1.241917496463,252.914437741262,20.1815926498274,230318.846439136,40.58,41.01,0,0.2,0,102021,1.43308789728883e-05,2.4052085983975,2.37998939095271,487.45,457.5,391.95,97.05,262.45,-249.2,4.48035568211474,4.22594148263355,36.4604825125822,-0.318561264967848,-1.31340813136208,1.62676872272864,0.0830054472221134,0.0782920347374992,0.675486249668118,-0.00422589053161115,-0.144942757652893,0.0212072398113902,0.679630966413516,0.0356837112850278,-0.0406770860214121,0.655269106910386,0.0861273672554669,-0.0695451795488918,0.0057921487052161,-0.167385632651395,-0.170885632651395,0.00556606732266146,0,-0.0282467445294668,-0.100585528164117,4.49869018081376,0.0181000345925912,0.0820739666743987,0.00874982174489288
4,0,106.47,102015,286.19,483,-94.6,219.6,262.6,272.4,38.7,483,-94.6,219.6,262.6,272.4,38.7,0,1.24180106522222,252.748259017801,20.1759071308864,230226.113019361,40.37,41.01,0,0.2,0,102015,1.43326124542278e-05,2.41703909569641,2.37931890498084,488.9,-80.7,221.4,263.8,265.8,29.2,4.49481618336947,-0.926841631912372,36.3277446324873,-0.286401230016824,-1.28284022931213,-0.192467590490923,0.0833281012976498,-0.0171824497910785,0.673469583884478,-0.00380176793656436,-0.141662479562975,-0.00251073797997436,0.677641720336916,0.0361462548852399,0.0183597550123318,0.653287274220164,0.0813955191438266,0.0168856639361364,-0.00804541584861435,-0.161438640737224,-0.167638640737224,-0.00681793275162685,0,-0.0282467445294668,-0.100576098151349,4.56055710833745,0.0183610142491568,0.0820739666743987,0.00874982174489288
4,0,106.48,102013,286.21,475.7,-80.2,225.5,258.4,266.4,37.1,475.7,-80.2,225.5,258.4,266.4,37.1,0,1.24168994594414,252.771998807186,20.1777574327845,230214.101231724,41.01,41.01,0.2,0.2,0,102013,1.43346747718971e-05,2.37953710871551,2.37953710871551,481.6,-66.3,227.3,259.6,259.8,27.6,4.42758250962291,-0.716970409149545,36.2838568024919,-0.228885196225807,-1.28996306660281,-0.181641277237308,0.0820739666743988,-0.0132904593735242,0.672592785691532,-0.00303799908895241,-0.142435667283974,-0.00236928628229288,0.676679573971382,0.0349563376210236,0.0145349894502285,0.6524256206256,0.0801630467061719,0.0130608983740331,-0.00619925121223125,-0.161871936596241,-0.168071936596241,-0.00655026808908036,0,-0.0282467445294668,-0.20113419673138,4.5590525942539,0.0183532331486047,0.0820739666743987,0.00874982174489288
4,5,106.35,102008,286.23,431.1,-774.8,49,449.2,228.1,429.2,431.1,-774.8,49,449.2,228.1,429.2,0,1.24154232910763,252.463382279752,20.1666346503881,230047.332178038,41.01,41.01,0.19,0.2,0,102008,1.43371588889369e-05,2.37822541322344,2.37822541322344,427.7,-767.9,49.1,450,225.8,419.1,3.93297226657541,-7.08276548817361,36.2161270723444,-0.964189533464831,-1.20883113213501,-2.73891062202346,0.0729945122331783,-0.131453510736651,0.672157938434296,-0.0128133566369201,-0.133640373634939,-0.0357693805917325,0.675612435254869,0.0259293336857722,0.11621096327045,0.651998284318001,0.0840870428808274,0.122439380126784,-0.0389034517847345,-0.158062983896838,-0.156562983896838,-0.0304666646771329,0,-0.0282467445294668,-0.201110285130958,3.97026092455992,0.0160024911317297,0.0820739666743987,0.00874982174489288
4,5,106.25,102010,286.23,447.1,-778.6,45.8,445.4,242.1,434.5,447.1,-778.6,45.8,445.4,242.1,434.5,0,1.24156667116569,252.288880458905,20.1594662660531,229941.401859416,38.95,41.01,0,0.2,0,102010,1.43368777957325e-05,2.50249167312401,2.37678738522751,443.7,-771.7,45.9,446.2,239.8,424.4,4.08016119383992,-7.07802995035951,36.1308288412688,-0.96939192300996,-1.18236947263083,-2.77339273234296,0.0757975582677473,-0.131489262824523,0.671205982864784,-0.0128946175574855,-0.130805359816664,-0.036244759232615,0.674858329208393,0.0287919567047719,0.116217118223732,0.650900464641023,0.0868143428808526,0.122203826720085,-0.03896018193268,-0.156001378722809,-0.154501378722809,-0.0309460735125863,0,-0.0282467445294668,-0.100557114080313,4.09880588837858,0.0165361523520307,0.0869691700394433,0.00887558353955619
4,10,106.49,102008,286.23,508.9,-965.4,-45.3,577.5,215.2,488.3,508.9,-965.4,-45.3,577.5,215.2,488.3,0,1.24154232910763,252.858775102961,20.1824203516283,230198.705693662,36.58,41.01,0,0.2,0,102008,1.43371588889369e-05,2.66766087605709,2.37949365633183,504.9,-949.1,-43.4,580,206.6,468.9,4.64377484242512,-9.35814119672305,38.0571296559527,0.239479952541376,-2.20166263822857,-3.06744345850499,0.0860734337543558,-0.173455297401844,0.705397642968388,0.00317832506027221,-0.24302065324302,-0.0399972831031047,0.709683508985031,0.0366577110348736,0.109601115748486,0.684493168743176,0.114374076317627,0.153143094116909,-0.0238594005339011,-0.289313750449553,-0.271613750449553,-0.023475443004812,0,-0.0282467445294668,-0.100555142565479,4.58862499715904,0.0184705471174208,0.0869691700394433,0.00887558353955619
4,10,106.52,102007,286.24,480.6,-955.4,-39.3,585.1,188.8,476.9,480.6,-955.4,-39.3,585.1,188.8,476.9,0,1.24148678433077,252.8669580589,20.183198406694,230219.719566896,41.01,41.01,0.23,0.2,0,102007,1.43381902254723e-05,2.3801787558048,2.3801787558048,476.6,-939.1,-37.4,587.6,180.2,457.5,4.38342665942229,-9.33917844833903,38.242533824928,0.286153906740484,-2.2696056462952,-2.99322217161301,0.0812249370797478,-0.173055064172752,0.708634510177773,0.00379670184178068,-0.250512130368806,-0.039028227238277,0.712574277317598,0.0315952326119757,0.109235125447321,0.687844810249508,0.109640138698406,0.153621326982092,-0.0231994919430127,-0.295508672010328,-0.277808672010328,-0.0224594143751751,0,-0.0282467445294668,-0.201101287752737,4.27313190353598,0.017195751355349,0.0820739666743987,0.00874982174489288
4,10,106.41,102000,286.24,324.1,-959.1,-5.7,619.8,44.5,476.5,324.1,-959.1,-5.7,619.8,44.5,476.5,0,1.24140159010399,251.700272855649,20.1372746007452,230092.918846124,49.21,49.21,0.65,0.78,0,102000,1.43391742189191e-05,1.98616968345615,1.98616968345615,320.1,-942.8,-3.8,622.3,35.9,457.1,2.94361919194192,-9.40377462409738,38.8848235710661,0.240723904679908,-2.62398662799672,-2.99030776346356,0.0546016787716314,-0.174432169307556,0.721281017439707,0.00319723650974331,-0.290970106024532,-0.0391709547901175,0.723332833704299,0.00415465147124561,0.110986310859784,0.702792266433581,0.0843859174879628,0.160071140555428,-0.0241845289611603,-0.328112490675096,-0.310412490675096,-0.0226102951046234,0,0.119928849510002,1.22932723987931,3.61784832961704,0.0145738382386751,0.0533377922529021,0.00694010269086545
